Entity,Year,Change in the number of international immigrants in the previous five years
Norway,2010,163457
Norway,2015,221774
Norway,2020,105863
Oceania,1995,290589
Oceania,2000,339154
Oceania,2005,662340
Oceania,2010,1104577
Oceania,2015,943678
Oceania,2020,1308377
Oceania (excluding Australia and New Zealand),1995,21902
Oceania (excluding Australia and New Zealand),2000,16038
Oceania (excluding Australia and New Zealand),2005,9421
Oceania (excluding Australia and New Zealand),2010,-7864
Oceania (excluding Australia and New Zealand),2015,4635
Oceania (excluding Australia and New Zealand),2020,10259
Oman,1995,235643
Oman,2000,83965
Oman,2005,42556
Oman,2010,150070
Oman,2015,1039992
Oman,2020,516610
Pakistan,1995,-2538896
Pakistan,2000,512604
Pakistan,2005,-1007354
Pakistan,2010,769123
Pakistan,2015,-437161
Pakistan,2020,-229940
Palau,1995,1948
Palau,2000,1561
Palau,2005,-267
Palau,2010,-553
Palau,2015,-553
Palau,2020,151
Palestine,1995,-6565
Palestine,2000,-6565
Palestine,2005,-682
Palestine,2010,-680
Palestine,2015,-677
Palestine,2020,-379
Panama,1995,8104
Panama,2000,12562
Panama,2005,26051
Panama,2010,48327
Panama,2015,26922
Panama,2020,128455
Papua New Guinea,1995,-184
Papua New Guinea,2000,-7222
Papua New Guinea,2005,3667
Papua New Guinea,2010,454
Papua New Guinea,2015,515
Papua New Guinea,2020,128
Paraguay,1995,-9314
Paraguay,2000,-9962
Paraguay,2005,-8365
Paraguay,2010,-7944
Paraguay,2015,-3837
Paraguay,2020,13105
Peru,1995,44
Peru,2000,9568
Peru,2005,11577
Peru,2010,26829
Peru,2015,50068
Peru,2020,1069745
Philippines,1995,53274
Philippines,2000,110750
Philippines,2005,-60627
Philippines,2010,-48869
Philippines,2015,3263
Philippines,2020,13663
Poland,1995,-163046
Poland,2000,-139474
Poland,2005,-102742
Poland,2010,-80092
Poland,2015,-30562
Poland,2020,205399
Polynesia,1995,6556
Polynesia,2000,6086
Polynesia,2005,2617
Polynesia,2010,-1027
Polynesia,2015,-2740
Polynesia,2020,135
Portugal,1995,97040
Portugal,2000,118650
Portugal,2005,119712
Portugal,2010,-8359
Portugal,2015,101989
Portugal,2020,137149
Puerto Rico,1995,16158
Puerto Rico,2000,16971
Puerto Rico,2005,-2894
Puerto Rico,2010,-47175
Puerto Rico,2015,-24475
Puerto Rico,2020,-33362
Qatar,1995,51920
Qatar,2000,-1976
Qatar,2005,286329
Qatar,2010,810387
Qatar,2015,231227
Qatar,2020,538552
Reunion,1995,19949
Reunion,2000,23519
Reunion,2005,14398
Reunion,2010,7953
Reunion,2015,4180
Reunion,2020,4560
Romania,1995,-788
Romania,2000,-783
Romania,2005,10908
Romania,2010,32049
Romania,2015,103837
Romania,2020,424262
Russia,1995,403979
Russia,2000,-28630
Russia,2005,-232709
Russia,2010,-472878
Russia,2015,448566
Russia,2020,-6365
Rwanda,1995,55711
Rwanda,2000,131341
Rwanda,2005,76111
Rwanda,2010,3714
Rwanda,2015,87746
Rwanda,2020,-740
Saint Helena,1995,-61
Saint Helena,2000,-9
Saint Helena,2005,55
Saint Helena,2010,85
Saint Helena,2015,129
Saint Helena,2020,60
Saint Kitts and Nevis,1995,1038
Saint Kitts and Nevis,2000,1623
Saint Kitts and Nevis,2005,811
Saint Kitts and Nevis,2010,563
Saint Kitts and Nevis,2015,198
Saint Kitts and Nevis,2020,282
Saint Lucia,1995,1850
Saint Lucia,2000,2716
Saint Lucia,2005,-32
Saint Lucia,2010,-789
Saint Lucia,2015,-377
Saint Lucia,2020,-335
Saint Pierre and Miquelon,1995,221
Saint Pierre and Miquelon,2000,138
Saint Pierre and Miquelon,2005,-311
Saint Pierre and Miquelon,2010,-130
Saint Pierre and Miquelon,2015,-31
Saint Pierre and Miquelon,2020,12
Saint Vincent and the Grenadines,1995,165
Saint Vincent and the Grenadines,2000,172
Saint Vincent and the Grenadines,2005,129
Saint Vincent and the Grenadines,2010,133
Saint Vincent and the Grenadines,2015,68
Saint Vincent and the Grenadines,2020,101
Samoa,1995,1337
Samoa,2000,1304
Samoa,2005,-252
Samoa,2010,-624
Samoa,2015,-867
Samoa,2020,-234
San Marino,1995,349
San Marino,2000,386
San Marino,2005,173
San Marino,2010,662
San Marino,2015,315
San Marino,2020,348
Sao Tome and Principe,1995,-646
Sao Tome and Principe,2000,-571
Sao Tome and Principe,2005,-932
Sao Tome and Principe,2010,-733
Sao Tome and Principe,2015,-306
Sao Tome and Principe,2020,-255
Saudi Arabia,1995,124257
Saudi Arabia,2000,140685
Saudi Arabia,2005,1238432
Saudi Arabia,2010,1928137
Saudi Arabia,2015,2341410
Saudi Arabia,2020,2683476
Senegal,1995,17244
Senegal,2000,-55753
Senegal,2005,6397
Senegal,2010,17794
Senegal,2015,10404
Senegal,2020,8433
Serbia,1995,771711
Serbia,2000,106893
Serbia,2005,-123025
Serbia,2010,-28573
Serbia,2015,-18834
Serbia,2020,15570
Seychelles,1995,1427
Seychelles,2000,1426
Seychelles,2005,2423
Seychelles,2010,2423
Seychelles,2015,1371
Seychelles,2020,259
Sierra Leone,1995,-123632
Sierra Leone,2000,-542
Sierra Leone,2005,48253
Sierra Leone,2010,-66962
Sierra Leone,2015,-20435
Sierra Leone,2020,-5084
Singapore,1995,264230
Singapore,2000,360199
Singapore,2005,358903
Singapore,2010,454200
Singapore,2015,318611
Singapore,2020,40243
Sint Maarten (Dutch part),2010,13104
Sint Maarten (Dutch part),2015,1092
Sint Maarten (Dutch part),2020,1550
Slovakia,1995,28028
Slovakia,2000,47053
Slovakia,2005,14115
Slovakia,2010,15828
Slovakia,2015,31305
Slovakia,2020,19537
Slovenia,1995,-3658
Slovenia,2000,40089
Slovenia,2005,2710
Slovenia,2010,36568
Slovenia,2015,-16170
Slovenia,2020,40348
Small island developing States (SIDS),1995,446141
Small island developing States (SIDS),2000,528362
Small island developing States (SIDS),2005,630916
Small island developing States (SIDS),2010,792373
Small island developing States (SIDS),2015,563510
Small island developing States (SIDS),2020,404034
Solomon Islands,1995,-48
Solomon Islands,2000,-197
Solomon Islands,2005,-710
Solomon Islands,2010,-511
Solomon Islands,2015,-175
Solomon Islands,2020,-65
Somalia,1995,-458767
Somalia,2000,570
Somalia,2005,671
Somalia,2010,27338
Somalia,2015,-7116
Somalia,2020,17600
South Africa,1995,-160076
South Africa,2000,13156
South Africa,2005,334068
South Africa,2010,763770
South Africa,2015,1116927
South Africa,2020,-371233
South America,1995,-33903
South America,2000,-25785
South America,2005,315052
South America,2010,706326
South America,2015,843540
South America,2020,4807267
South Korea,1995,80639
South Korea,2000,120338
South Korea,2005,241841
South Korea,2010,433922
South Korea,2015,450918
South Korea,2020,357277
South Sudan,2015,613380
South Sudan,2020,38140
South-Eastern Asia,1995,823441
South-Eastern Asia,2000,1413151
South-Eastern Asia,2005,1637265
South-Eastern Asia,2010,1947463
South-Eastern Asia,2015,1463211
South-Eastern Asia,2020,454230
Southern Africa,1995,-193557
Southern Africa,2000,65987
Southern Africa,2005,315026
Southern Africa,2010,769820
Southern Africa,2015,1125362
Southern Africa,2020,-352831
Southern Asia,1995,-4194921
Southern Asia,2000,-392276
Southern Asia,2005,-1332076
Southern Asia,2010,793178
Southern Asia,2015,-538372
Southern Asia,2020,-9939
Southern Europe,1995,1889681
Southern Europe,2000,1451544
Southern Europe,2005,4322366
Southern Europe,2010,4202249
Southern Europe,2015,-390816
Southern Europe,2020,1850231
Spain,1995,198462
Spain,2000,637218
Spain,2005,2449941
Spain,2010,2172836
Spain,2015,-388854
Spain,2020,950994
Sri Lanka,1995,-720
Sri Lanka,2000,-709
Sri Lanka,2005,-606
Sri Lanka,2010,-567
Sri Lanka,2015,747
Sri Lanka,2020,548
Sub-Saharan Africa,1995,989096
Sub-Saharan Africa,2000,-1124208
Sub-Saharan Africa,2005,1139140
Sub-Saharan Africa,2010,1564268
Sub-Saharan Africa,2015,4867237
Sub-Saharan Africa,2020,1499664
Sudan,1995,-349500
Sudan,2000,-248310
Sudan,2005,-258667
Sudan,2010,72290
Sudan,2015,1814
Sudan,2020,758624
Suriname,1995,4237
Suriname,2000,5186
Suriname,2005,6156
Suriname,2010,6051
Suriname,2015,3414
Suriname,2020,4674
Sweden,1995,147255
Sweden,2000,67776
Sweden,2005,121992
Sweden,2010,211424
Sweden,2015,265308
Sweden,2020,401386
Switzerland,1995,86547
Switzerland,2000,91927
Switzerland,2005,234681
Switzerland,2010,269745
Switzerland,2015,183014
Switzerland,2020,233053
Syria,1995,116470
Syria,2000,4306
Syria,2005,47482
Syria,2010,901197
Syria,2015,-947879
Syria,2020,32995
Tajikistan,1995,-80553
Tajikistan,2000,-48848
Tajikistan,2005,-19033
Tajikistan,2010,-658
Tajikistan,2015,-4707
Tajikistan,2020,930
Tanzania,1995,532018
Tanzania,2000,-156443
Tanzania,2005,-178447
Tanzania,2010,-461306
Tanzania,2015,74720
Tanzania,2020,41450
Thailand,1995,281027
Thailand,2000,448101
Thailand,2005,937789
Thailand,2010,1038771
Thailand,2015,235839
Thailand,2020,162276
Togo,1995,16739
Togo,2000,36385
Togo,2005,66251
Togo,2010,51345
Togo,2015,21820
Togo,2020,2552
Tokelau,1995,146
Tokelau,2000,206
Tokelau,2005,291
Tokelau,2010,125
Tokelau,2015,57
Tokelau,2020,53
Tonga,1995,363
Tonga,2000,410
Tonga,2005,617
Tonga,2010,306
Tonga,2015,-653
Tonga,2020,-212
Trinidad and Tobago,1995,-4672
Trinidad and Tobago,2000,-4241
Trinidad and Tobago,2005,3059
Trinidad and Tobago,2010,3414
Trinidad and Tobago,2015,1795
Trinidad and Tobago,2020,28828
Tunisia,1995,-117
Tunisia,2000,-1148
Tunisia,2005,-1679
Tunisia,2010,8132
Tunisia,2015,13360
Tunisia,2020,3613
Turkey,1995,52487
Turkey,2000,64790
Turkey,2005,43145
Turkey,2010,49641
Turkey,2015,2972448
Turkey,2020,1706455
Turkmenistan,1995,-32935
Turkmenistan,2000,-54498
Turkmenistan,2005,-6014
Turkmenistan,2010,-15074
Turkmenistan,2015,-1603
Turkmenistan,2020,-1456
Turks and Caicos Islands,1995,1977
Turks and Caicos Islands,2000,1976
Turks and Caicos Islands,2005,4100
Turks and Caicos Islands,2010,4101
Turks and Caicos Islands,2015,5507
Turks and Caicos Islands,2020,3025
Tuvalu,1995,-55
Tuvalu,2000,-45
Tuvalu,2005,-9
Tuvalu,2010,11
Tuvalu,2015,10
Tuvalu,2020,9
Uganda,1995,62714
Uganda,2000,-22707
Uganda,2005,9028
Uganda,2010,-100378
Uganda,2015,358245
Uganda,2020,869138
Ukraine,1995,-720582
Ukraine,2000,-645251
Ukraine,2005,-476785
Ukraine,2010,-231535
Ukraine,2015,96375
Ukraine,2020,82245
United Arab Emirates,1995,517544
United Arab Emirates,2000,622892
United Arab Emirates,2005,834105
United Arab Emirates,2010,4035582
United Arab Emirates,2015,678429
United Arab Emirates,2020,721206
United Kingdom,1995,505007
United Kingdom,2000,574872
United Kingdom,2005,1195991
United Kingdom,2010,1193508
United Kingdom,2015,1287332
United Kingdom,2020,952591
United States,1995,5200027
United States,2000,6363000
United States,2005,4444240
United States,2010,4925350
United States,2015,3995234
United States,2020,2453959
United States Virgin Islands,1995,2271
United States Virgin Islands,2000,2370
United States Virgin Islands,2005,36
United States Virgin Islands,2010,37
United States Virgin Islands,2015,37
United States Virgin Islands,2020,32
Upper-middle-income countries,1995,-75660
Upper-middle-income countries,2000,608527
Upper-middle-income countries,2005,2387451
Upper-middle-income countries,2010,3870440
Upper-middle-income countries,2015,8911376
Upper-middle-income countries,2020,6391966
Uruguay,1995,-4688
Uruguay,2000,-4554
Uruguay,2005,-6557
Uruguay,2010,-6014
Uruguay,2015,2496
Uruguay,2020,29468
Uzbekistan,1995,-140423
Uzbekistan,2000,-106079
Uzbekistan,2005,-76566
Uzbekistan,2010,-109783
Uzbekistan,2015,-49276
Uzbekistan,2020,-8866
Vanuatu,1995,153
Vanuatu,2000,165
Vanuatu,2005,174
Vanuatu,2010,191
Vanuatu,2015,195
Vanuatu,2020,71
Vatican,1995,16
Vatican,2000,12
Vatican,2005,8
Vatican,2010,-15
Vatican,2015,7
Vatican,2020,19
Venezuela,1995,-5013
Venezuela,2000,-6258
Venezuela,2005,62736
Venezuela,2010,270873
Venezuela,2015,57101
Venezuela,2020,-80255
Vietnam,1995,23144
Vietnam,2000,5492
Vietnam,2005,-4986
Vietnam,2010,9988
Vietnam,2015,11037
Vietnam,2020,3974
Wallis and Futuna,1995,302
Wallis and Futuna,2000,311
Wallis and Futuna,2005,176
Wallis and Futuna,2010,-80
Wallis and Futuna,2015,-61
Wallis and Futuna,2020,-10
Western Africa,1995,962857
Western Africa,2000,-172464
Western Africa,2005,695917
Western Africa,2010,364589
Western Africa,2015,745501
Western Africa,2020,484959
Western Asia,1995,1624980
Western Asia,2000,1590525
Western Asia,2005,2995137
Western Asia,2010,9270308
Western Asia,2015,9210780
Western Asia,2020,6702646
Western Europe,1995,2093890
Western Europe,2000,2119612
Western Europe,2005,1407959
Western Europe,2010,1766928
Western Europe,2015,1903287
Western Europe,2020,7312566
Western Sahara,1995,301
Western Sahara,2000,300
Western Sahara,2005,602
Western Sahara,2010,602
Western Sahara,2015,686
Western Sahara,2020,245
World,1995,8303819
World,2000,11940609
World,2005,18216243
World,2010,29536359
World,2015,26975457
World,2020,32639461
Yemen,1995,17652
Yemen,2000,8425
Yemen,2005,26931
Yemen,2010,116523
Yemen,2015,91488
Yemen,2020,7231
Zambia,1995,-35125
Zambia,2000,99365
Zambia,2005,-90808
Zambia,2010,-102933
Zambia,2015,-17855
Zambia,2020,55848
Zimbabwe,1995,-203395
Zimbabwe,2000,-21117
Zimbabwe,2005,-7883
Zimbabwe,2010,-3919
Zimbabwe,2015,2175
Zimbabwe,2020,15659
